time,kind,y,aaa bond rate*current account (%gdp) ,aaa bond rate*foreign currency reserve(m),"aaa bond rate*government - debt, gross (%gdp) ",aaa bond rate*policy interest rate(m),aaa bond rate*political  risk,ted spread rate*current account (%gdp) ,ted spread rate*foreign currency reserve(m),"ted spread rate*government - debt, gross (%gdp) ",ted spread rate*policy interest rate(m),ted spread rate*political  risk,us cpi inflation rate(m)*current account (%gdp) ,us cpi inflation rate(m)*foreign currency reserve(m),"us cpi inflation rate(m)*government - debt, gross (%gdp) ",us cpi inflation rate(m)*policy interest rate(m),us cpi inflation rate(m)*political  risk,us foreign gross purchases of us domestic securities curn - ec. aggregated*current account (%gdp) ,us foreign gross purchases of us domestic securities curn - ec. aggregated*foreign currency reserve(m),"us foreign gross purchases of us domestic securities curn - ec. aggregated*government - debt, gross (%gdp) ",us foreign gross purchases of us domestic securities curn - ec. aggregated*policy interest rate(m),us foreign gross purchases of us domestic securities curn - ec. aggregated*political  risk,us foreign gross purchases of foreign securities curn - ec. aggregated*current account (%gdp) ,us foreign gross purchases of foreign securities curn - ec. aggregated*foreign currency reserve(m),"us foreign gross purchases of foreign securities curn - ec. aggregated*government - debt, gross (%gdp) ",us foreign gross purchases of foreign securities curn - ec. aggregated*policy interest rate(m),us foreign gross purchases of foreign securities curn - ec. aggregated*political  risk,us investor sentiment*current account (%gdp) ,us investor sentiment*foreign currency reserve(m),"us investor sentiment*government - debt, gross (%gdp) ",us investor sentiment*policy interest rate(m),us investor sentiment*political  risk,us monetary base(m)*current account (%gdp) ,us monetary base(m)*foreign currency reserve(m),"us monetary base(m)*government - debt, gross (%gdp) ",us monetary base(m)*policy interest rate(m),us monetary base(m)*political  risk,vix*current account (%gdp) ,vix*foreign currency reserve(m),"vix*government - debt, gross (%gdp) ",vix*policy interest rate(m),vix*political  risk,carry*current account (%gdp) ,carry*foreign currency reserve(m),"carry*government - debt, gross (%gdp) ",carry*policy interest rate(m),carry*political  risk,current account (%gdp) ,foreign currency reserve(m),"government - debt, gross (%gdp) ",policy interest rate(m),political  risk,carry,Negative,Neutral,Positive,CPI,PPI,ICS,GDP,HourlyWages,CrudeOil,S&P500,Y
2010/1/1,MX,0.009793361,-0.130464955,0.094414847,0.197936633,0.041193702,0.737263085,-0.130464955,0.094414847,0.197936633,0.041193702,0.737263085,-0.130464955,0.094414847,0.197936633,0.041193702,0.737263085,-0.130464955,0.094414847,0.197936633,0.041193702,0.737263085,-0.130464955,0.094414847,0.197936633,0.041193702,0.737263085,0.130464955,-0.094414847,-0.197936633,-0.041193702,-0.737263085,-0.130464955,0.094414847,0.197936633,0.041193702,0.737263085,-0.130464955,0.094414847,0.197936633,0.041193702,0.737263085,-0.130464955,0.094414847,0.197936633,0.041193702,0.737263085,-0.130464955,0.094414847,0.197936633,0.041193702,0.737263085,0.019923038,0.035555556,0.8392777779999999,0.12516666699999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2010/2/1,MX,0.018898481,-0.029040404,0.092895337,0.197936633,0.041273044,0.737263085,-0.029040404,0.092895337,0.197936633,0.041273044,0.737263085,-0.029040404,0.092895337,0.197936633,0.041273044,0.737263085,-0.029040404,0.092895337,0.197936633,0.041273044,0.737263085,-0.029040404,0.092895337,0.197936633,0.041273044,0.737263085,0.029040404,-0.092895337,-0.197936633,-0.041273044,-0.737263085,-0.029040404,0.092895337,0.197936633,0.041273044,0.737263085,-0.029040404,0.092895337,0.197936633,0.041273044,0.737263085,-0.029040404,0.092895337,0.197936633,0.041273044,0.737263085,-0.029040404,0.092895337,0.197936633,0.041273044,0.737263085,0.022250346,0.035555556,0.8392777779999999,0.12516666699999998,-0.000951777,-0.004947774,-0.010752688,0.0,0.001588983,0.045355785,-0.00239636,1
2010/3/1,MX,0.039473446,-0.029040404,0.094591971,0.188571745,0.041171089,0.737263085,-0.029040404,0.094591971,0.188571745,0.041171089,0.737263085,-0.029040404,0.094591971,0.188571745,0.041171089,0.737263085,-0.029040404,0.094591971,0.188571745,0.041171089,0.737263085,-0.029040404,0.094591971,0.188571745,0.041171089,0.737263085,0.029040404,-0.094591971,-0.188571745,-0.041171089,-0.737263085,-0.029040404,0.094591971,0.188571745,0.041171089,0.737263085,-0.029040404,0.094591971,0.188571745,0.041171089,0.737263085,-0.029040404,0.094591971,0.188571745,0.041171089,0.737263085,-0.029040404,0.094591971,0.188571745,0.041171089,0.737263085,0.018945909,0.061785714000000005,0.822571429,0.115571429,0.000331368,0.012707182,0.0,0.0,0.0,0.061964147000000004,0.058993274000000005,1
2010/4/1,MX,0.009118938,-0.029040404,0.096956117,0.188571745,0.041125937,0.737263085,-0.029040404,0.096956117,0.188571745,0.041125937,0.737263085,-0.029040404,0.096956117,0.188571745,0.041125937,0.737263085,-0.029040404,0.096956117,0.188571745,0.041125937,0.737263085,-0.029040404,0.096956117,0.188571745,0.041125937,0.737263085,0.029040404,-0.096956117,-0.188571745,-0.041125937,-0.737263085,-0.029040404,0.096956117,0.188571745,0.041125937,0.737263085,-0.029040404,0.096956117,0.188571745,0.041125937,0.737263085,-0.029040404,0.096956117,0.188571745,0.041125937,0.737263085,-0.029040404,0.096956117,0.188571745,0.041125937,0.737263085,0.030602245,0.07892307700000001,0.799384615,0.121615385,0.00023004099999999997,0.006001091,-0.019021739,0.013908235,0.0026441040000000004,0.017981651,0.027512829,1
2010/5/1,MX,-0.050639764000000004,-0.004904365,0.098945321,0.188571745,0.040387722,0.737263085,-0.004904365,0.098945321,0.188571745,0.040387722,0.737263085,-0.004904365,0.098945321,0.188571745,0.040387722,0.737263085,-0.004904365,0.098945321,0.188571745,0.040387722,0.737263085,-0.004904365,0.098945321,0.188571745,0.040387722,0.737263085,-0.004904365,0.098945321,0.188571745,0.040387722,0.737263085,-0.004904365,0.098945321,0.188571745,0.040387722,0.737263085,-0.004904365,0.098945321,0.188571745,0.040387722,0.737263085,-0.004904365,0.098945321,0.188571745,0.040387722,0.737263085,-0.004904365,0.098945321,0.188571745,0.040387722,0.737263085,0.040967937999999995,0.07892307700000001,0.799384615,0.121615385,-0.0005197719999999999,0.0021691970000000003,0.019390582,0.0,0.0026371309999999996,-0.15789473699999998,-0.045678925999999995,0
2010/6/1,MX,0.006394247,-0.004904365,0.099711345,0.18609877800000002,0.040500405,0.730575352,-0.004904365,0.099711345,0.18609877800000002,0.040500405,0.730575352,-0.004904365,0.099711345,0.18609877800000002,0.040500405,0.730575352,-0.004904365,0.099711345,0.18609877800000002,0.040500405,0.730575352,-0.004904365,0.099711345,0.18609877800000002,0.040500405,0.730575352,-0.004904365,0.099711345,0.18609877800000002,0.040500405,0.730575352,-0.004904365,0.099711345,0.18609877800000002,0.040500405,0.730575352,-0.004904365,0.099711345,0.18609877800000002,0.040500405,0.730575352,-0.004904365,0.099711345,0.18609877800000002,0.040500405,0.730575352,-0.004904365,0.099711345,0.18609877800000002,0.040500405,0.730575352,0.015724101,0.09169230800000001,0.819230769,0.08892307699999999,-0.000418795,-0.007034632,0.032608696,0.0,0.0005260390000000001,0.083047945,-0.039491886000000004,1
2010/7/1,MX,0.022291736,-0.004904365,0.100730711,0.18609877800000002,0.040547846,0.730575352,-0.004904365,0.100730711,0.18609877800000002,0.040547846,0.730575352,-0.004904365,0.100730711,0.18609877800000002,0.040547846,0.730575352,-0.004904365,0.100730711,0.18609877800000002,0.040547846,0.730575352,-0.004904365,0.100730711,0.18609877800000002,0.040547846,0.730575352,-0.004904365,0.100730711,0.18609877800000002,0.040547846,0.730575352,-0.004904365,0.100730711,0.18609877800000002,0.040547846,0.730575352,-0.004904365,0.100730711,0.18609877800000002,0.040547846,0.730575352,0.004904365,-0.100730711,-0.18609877800000002,-0.040547846,-0.730575352,-0.004904365,0.100730711,0.18609877800000002,0.040547846,0.730575352,-0.021800032,0.09169230800000001,0.819230769,0.08892307699999999,0.0018692539999999999,0.003269755,-0.10789473699999999,0.010305373,0.001051525,0.010144928000000001,0.0040657309999999995,1
2010/8/1,MX,-0.037312895,0.0038350909999999997,0.10300475199999999,0.18609877800000002,0.040268456,0.730575352,0.0038350909999999997,0.10300475199999999,0.18609877800000002,0.040268456,0.730575352,0.0038350909999999997,0.10300475199999999,0.18609877800000002,0.040268456,0.730575352,0.0038350909999999997,0.10300475199999999,0.18609877800000002,0.040268456,0.730575352,0.0038350909999999997,0.10300475199999999,0.18609877800000002,0.040268456,0.730575352,-0.0038350909999999997,-0.10300475199999999,-0.18609877800000002,-0.040268456,-0.730575352,0.0038350909999999997,0.10300475199999999,0.18609877800000002,0.040268456,0.730575352,0.0038350909999999997,0.10300475199999999,0.18609877800000002,0.040268456,0.730575352,-0.0038350909999999997,-0.10300475199999999,-0.18609877800000002,-0.040268456,-0.730575352,0.0038350909999999997,0.10300475199999999,0.18609877800000002,0.040268456,0.730575352,-0.027466355,0.068529412,0.872294118,0.059176470999999994,0.0014613629999999998,0.004345464,0.016224189,0.0,0.0036764709999999997,0.046563192999999996,0.022417262,0
2010/9/1,MX,0.052498956,0.0038350909999999997,0.10469666400000001,0.184511858,0.040089087,0.730575352,0.0038350909999999997,0.10469666400000001,0.184511858,0.040089087,0.730575352,0.0038350909999999997,0.10469666400000001,0.184511858,0.040089087,0.730575352,0.0038350909999999997,0.10469666400000001,0.184511858,0.040089087,0.730575352,0.0038350909999999997,0.10469666400000001,0.184511858,0.040089087,0.730575352,-0.0038350909999999997,-0.10469666400000001,-0.184511858,-0.040089087,-0.730575352,0.0038350909999999997,0.10469666400000001,0.184511858,0.040089087,0.730575352,0.0038350909999999997,0.10469666400000001,0.184511858,0.040089087,0.730575352,-0.0038350909999999997,-0.10469666400000001,-0.184511858,-0.040089087,-0.730575352,0.0038350909999999997,0.10469666400000001,0.184511858,0.040089087,0.730575352,-0.051548767,0.0810625,0.8525625,0.066375,0.001615249,0.0,-0.010159652,0.0,0.0,-0.09072781699999999,0.016698453999999998,1
2010/10/1,MX,0.017733774,0.0038350909999999997,0.102732473,0.184511858,0.039957379,0.730575352,0.0038350909999999997,0.102732473,0.184511858,0.039957379,0.730575352,0.0038350909999999997,0.102732473,0.184511858,0.039957379,0.730575352,0.0038350909999999997,0.102732473,0.184511858,0.039957379,0.730575352,0.0038350909999999997,0.102732473,0.184511858,0.039957379,0.730575352,-0.0038350909999999997,-0.102732473,-0.184511858,-0.039957379,-0.730575352,0.0038350909999999997,0.102732473,0.184511858,0.039957379,0.730575352,0.0038350909999999997,0.102732473,0.184511858,0.039957379,0.730575352,0.0038350909999999997,0.102732473,0.184511858,0.039957379,0.730575352,0.0038350909999999997,0.102732473,0.184511858,0.039957379,0.730575352,0.010782418,0.0810625,0.8525625,0.066375,0.003481846,0.009194159,-0.007331378,0.010671544,0.004709576,0.113349781,0.031944683,1
